Humidity_in,Temperature_in,Humidity_out,Temperature_out,Humidity_box,Temperature_box,Wind_Speed,Temperature_towel,Temperature_bed,Humidity_towel_raw
57,22.4,60,23.9,55,24.4,6.92,20.76,108.58,425
56,22.4,60,23.9,55,24.4,6.64,21.03,114.62,425
56,22.4,60,23.9,54,24.4,6.48,21.03,114.62,424
56,22.4,60,23.9,54,24.4,6.22,20.76,103.47,424
56,22.4,60,23.9,54,24.4,6.44,20.76,108.58,425
56,22.4,60,23.9,54,24.4,6.16,20.76,108.58,424
56,22.4,59,23.9,55,24.4,5.9,20.76,99.05,424
56,22.4,59,23.9,54,24.4,5.97,20.76,103.47,424
56,22.4,59,23.9,54,24.4,6.37,20.76,108.58,424
56,22.3,59,23.9,54,24.4,6.65,20.76,95.17,424
56,22.4,59,23.9,54,24.4,6.65,20.5,95.17,424
56,22.3,59,23.9,54,24.4,6.24,20.5,99.05,424
56,22.3,59,23.8,54,24.4,6.1,20.76,99.05,424
56,22.3,59,23.8,54,24.4,6.24,20.5,99.05,424
56,22.3,59,23.9,54,24.4,6.24,20.76,99.05,424
56,22.3,59,23.8,54,24.4,6.1,20.5,95.17,425
56,22.3,58,23.8,53,24.4,6.03,20.5,95.17,424
56,22.3,59,23.9,53,24.4,6.72,20.5,95.17,424
57,22.3,59,23.8,53,24.4,6.28,20.5,95.17,424
57,22.4,59,23.9,54,24.4,6.42,20.76,91.71,424
56,22.4,59,23.8,53,24.4,6.42,20.5,88.6,424
56,22.4,59,23.8,53,24.4,6.84,20.76,91.71,424
56,22.4,58,23.8,53,24.4,6.5,20.5,88.6,424
56,22.4,58,23.8,53,24.4,6.78,20.5,91.71,424
56,22.4,59,23.8,53,24.3,6.36,20.24,85.78,424
56,22.4,58,23.8,53,24.4,6.5,20.5,88.6,423
56,22.4,58,23.9,53,24.3,6.22,20.5,88.6,424
56,22.4,58,23.8,53,24.3,6.5,20.5,83.19,423
56,22.4,58,23.8,53,24.3,6.5,20.24,85.78,424
56,22.4,58,23.8,53,24.3,6.44,20.5,88.6,424
56,22.4,58,23.9,53,24.3,7.07,20.5,85.78,424
56,22.4,58,23.8,53,24.3,6.86,20.5,85.78,424
56,22.4,58,23.9,53,24.3,6.5,20.24,83.19,424
56,22.4,58,23.8,53,24.3,6.3,19.99,80.81,423
56,22.4,58,23.8,53,24.3,6.86,20.5,83.19,424
56,22.4,58,23.8,53,24.3,6.16,20.24,83.19,423
56,22.4,58,23.8,53,24.3,6.44,19.99,80.81,423
56,22.4,58,23.8,53,24.3,6.8,20.24,80.81,423
56,22.4,58,23.8,53,24.3,7.09,20.24,80.81,423
56,22.4,58,23.8,52,24.3,6.72,19.99,80.81,423
56,22.4,58,23.8,52,24.3,6.8,19.99,78.6,424
56,22.4,57,23.8,52,24.3,6.69,22.11,65.19,424
56,22.4,57,23.8,52,24.3,6.21,22.38,65.19,424
56,22.4,57,23.8,52,24.3,6.27,22.11,63.88,424
56,22.3,57,23.8,52,24.3,6.14,22.11,65.19,424
56,22.3,57,23.7,52,24.3,6.41,22.38,63.88,424
56,22.3,57,23.7,52,24.3,6,22.11,63.88,425
56,22.3,57,23.7,52,24.3,6.19,22.38,65.19,425
56,22.3,58,23.7,52,24.3,5.85,22.38,65.19,426
56,22.4,58,23.7,53,24.3,5.91,22.11,65.19,428
56,22.4,60,23.7,55,24.3,5.42,22.11,65.19,430
56,22.4,61,23.8,56,24.3,5.05,21.83,66.56,431
56,22.4,61,23.8,57,24.3,5.29,21.83,65.19,432
56,22.4,62,23.8,57,24.3,5.8,21.83,66.56,433
56,22.4,62,23.8,58,24.3,5.29,21.56,66.56,433
56,22.4,62,23.8,57,24.3,5.8,21.83,68,434
56,22.4,62,23.9,57,24.3,5.54,21.56,68,434
56,22.4,62,23.9,57,24.3,5.8,21.29,68,435
56,22.3,62,23.9,57,24.3,5.61,21.29,69.52,435
56,22.3,62,23.9,57,24.3,5.49,21.29,69.52,435
56,22.3,62,23.9,57,24.3,5.8,21.03,68,435
56,22.3,62,23.9,57,24.3,5.67,21.03,71.13,436
56,22.3,62,23.9,57,24.3,6.06,21.29,71.13,436
56,22.3,62,23.9,57,24.3,5.67,21.03,69.52,436
56,22.3,62,23.9,57,24.3,5.93,21.03,71.13,436
56,22.3,62,23.9,57,24.3,5.8,21.03,71.13,436
56,22.3,62,24,57,24.3,5.67,21.03,74.63,437
56,22.3,62,24,57,24.3,5.93,21.03,72.83,437
56,22.3,62,24,57,24.3,5.67,20.76,76.55,437
56,22.3,62,24,57,24.3,5.49,20.76,76.55,438
56,22.3,62,24,57,24.3,5.8,20.76,74.63,437
56,22.3,62,24,57,24.3,5.67,20.76,74.63,438
56,22.3,62,24,57,24.3,5.67,21.03,76.55,438
56,22.3,62,24,57,24.3,5.72,20.76,74.63,439
56,22.3,62,24,57,24.3,5.93,20.76,76.55,439
56,22.3,62,24,57,24.3,5.93,21.03,78.6,439
56,22.3,62,24,57,24.3,5.29,21.03,78.6,439
56,22.3,62,24,57,24.3,5.29,21.03,76.55,440
56,22.3,62,24,57,24.3,5.61,21.03,80.81,439
56,22.4,62,24,57,24.3,5.93,20.76,80.81,440
56,22.4,62,24,57,24.3,5.49,21.03,80.81,440
56,22.4,62,24,57,24.3,5.8,21.03,83.19,440
56,22.4,62,24,57,24.3,5.8,21.03,83.19,441
56,22.4,62,24,57,24.4,5.67,21.03,80.81,441
56,22.4,62,24.1,57,24.3,5.85,21.03,83.19,441
56,22.4,62,24.1,57,24.3,5.93,21.03,83.19,441
56,22.4,62,24.1,57,24.4,5.61,21.03,83.19,441
56,22.4,62,24.1,57,24.3,5.61,21.03,83.19,442
56,22.4,62,24.1,57,24.3,5.74,20.76,83.19,442
56,22.4,62,24.1,58,24.4,6.12,21.03,83.19,443
56,22.4,62,24.1,58,24.3,5.8,21.03,85.78,443
56,22.4,62,24.1,58,24.4,5.8,21.03,88.6,443
56,22.4,62,24.1,58,24.4,5.72,20.76,88.6,443
56,22.4,62,24.1,58,24.4,5.78,21.03,91.71,443
56,22.4,62,24.1,58,24.3,5.65,20.5,198.87,442
56,22.4,62,24.1,58,24.4,5.65,20.24,198.87,444
56,22.4,62,24.1,58,24.4,5.47,20.24,198.87,444
56,22.4,62,24.1,58,24.4,5.67,20.76,198.87,444
56,22.4,62,24.1,58,24.4,6.19,21.03,198.87,445
56,22.4,62,24.1,58,24.4,5.72,20.76,198.87,444
56,22.4,62,24.1,58,24.4,5.65,20.24,198.87,445
56,22.4,62,24.1,58,24.4,5.6,20.76,198.87,445
56,22.4,62,24.1,58,24.4,5.6,20.5,198.87,446
56,22.4,62,24.1,58,24.4,5.64,19.48,131.29,446
56,22.4,62,24.1,58,24.4,6.22,18.99,121.97,446
56,22.4,61,24.1,58,24.4,6.78,19.48,131.29,445
56,22.4,60,24.1,57,24.4,6.7,19.23,121.97,445
56,22.4,59,24.1,56,24.4,6.84,19.48,131.29,444
56,22.4,59,24.1,55,24.4,6.78,19.73,143.87,444
56,22.4,58,24.1,54,24.4,6.72,19.73,131.29,444
56,22.4,58,24,54,24.4,6.72,19.73,121.97,443
56,22.4,58,24,53,24.4,6.86,19.73,121.97,442
56,22.4,58,24,53,24.4,6.78,19.73,131.29,443
